name,url,price,latin_name,description,germination_info,germination_days
American beech,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-american-beech,8.0,Fagus grandifolia,"American beech is a large deciduous tree native to the eastern parts of Canada and United States. Known for its smooth grey bark that messages can easily be carved into, it grows into a full sized forest tree in good conditions. Leaves are dark green, 4-7cm long, serrated and lighter on the underside. The tree produces small triangular nuts, approximately 1cm long in the fall season. Beech nuts are important as a food source for wildlife. The leaves turn from green to yellow and orange in the autumn. As well, American beech trees can propagate via root shoots, and often small shrub-like trees will begin growing around mature specimens.",Germination: Soak in water for 24 hours. Cold stratify for 90 days. Plant 1-2cm deep in moist potting soil. ,90
American persimmon,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-american-persimmon,10.0,Diospyros virginiana,"American persimmon (plaqueminier de Virginie) is a small to medium-sized tree that produces a sweet orange edible fruit in the fall season. American persimmons grow best in warm sunny climates in Canada such as southern Ontario or British Columbia and do not tolerate extreme cold. The leaves are oval rounded, 10-15cm and dark green with a glossy shine when young. The fruit is orange-yellow in colour, round to oval in shape, 3-5cm in diameter, typically ripening in the late fall and sweetest after cold weather.","Germination: Soak in water for 24 hours, then cold stratify for 90 days. Plant in a well-drained, sunny location.",90
Austrian black pine,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-austrian-black-pine,7.0,Pinus nigra,"Austrian Black Pine (Pin noir) is a hardy species of pine native to the alps. It is often planted as a tree in landscaping for its rugged growth habit and low maintenance requirements. Germination for this pine is relatively easy, achieving good germination rates without any pre-treatment, but cold stratification is recommended for best results.",Germination: Soak seeds for 24 hours in water. Mix the seeds and soil mixture into a bag and place it in the fridge for 4 weeks. Place into your seed tray and germinate. Make sure seeds do not dry out during treatment.,28
Bald cypress,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-bald-cypress,9.0,Taxodium distichum,"Bald Cypress is native to the southern USA and grows up into the east coast. This tree is a deciduous conifer that enjoys wetlands and can grow in standing water. Known for its soft foliage and spherical seeds, it can grow in drier areas as well. ",Germination: Soak in water for 24 hours. Cold stratify for 90 days. Plant 1-2cm deep in sterile potting mix.,90
Balsam fir,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-balsam-fir,5.0,Abies balsamea,"Balsam fir (Sapin baumier) is native to eastern Canada, and the only type of fir tree native to this region. Typically 15-20 m tall, with a dense conical shape. Leaves are needle-like but flat, 2-3cm long, dark green, with two white bands on the underside. Cones grow upright, 4-8cm long, with a dark purple colour. Tolerant of shade, as well as cold northern conditions. It is an important part of the northern boreal forest in which it thrives. The tree often has a wide spreading root system and can grow in wetter soils.","Germination: Soak seeds in water for 24 hours. Place in a cold fridge at 4C for 30-45 days. Sow in a pot 1cm below the earth, watering regularly to keep moist.",30
Bitternut hickory,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-bitternut-hickory,10.0,Carya cordiformis,"Bitternut hickory is a cold-hardy hickory native to Ontario and Quebec. It is a large tree, growing up to 35m with a trunk up to 1m in good climates. Unlike the shagbark hickory, bitternut hickory has unpalatable taste as the name implies. It prefers moist sites such as valleys, riverbanks and swamplands but can also grow in nutrient poor soils and drier sites. <br/>",Germination: Soak in water for 24 hours. Cold stratify for 90 days and then plant in moist sandy soil for best results. ,90
Black cherry,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-black-cherry,9.0,Prunus serotina,"Black cherry (Cerisier noir) is a valuable forest tree that grows to large size in eastern North America. The bark is dark gray and scaly in mature individuals and this tree prefers well drained, fully sunny sites. As a pioneer species, it is well-suited for old fields or forest edges. It grows fast and large trees can grow to over 20m tall and 1m wide.","Germination: Seeds require warm pre-treatment at around 20 degrees C for 2 weeks, then a cold period at 4 degrees C for approximately 18 weeks in a well-drained substrate.",14
Black locust,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-black-locust,6.0,Robinia pseudoacacia,Black locust (Robinier faux-acacia) is a medium-sized deciduous hardwood tree that grows in Ontario and Quebec as well as the eastern US states. A member of the legume family (fabaceae) it has large white pea-like flowers in the summer and seed pods that resemble beans in the fall season. It is a straight-growing tree with a narrow crown that reaches between 15-30m in height. Exceptional specimens are over 50m tall and exceeding 1.5m in diameter.,"Germination: Soak in very hot water, let stand for 24 hours. Plant 1-2cm deep in a mulched soil bed. ",-1
Black spruce,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-black-spruce,6.0,Picea mariana,"Black spruce (Épinette noir) is native to all provinces and territories of Canada. A common tree of the boreal forest and wetlands, black spruce grows well in bogs and lowland acidic soil conditions. Compared to white spruce, black spruce has relatively shorter needles and grows in a more slender and tall form. Its cones are approximately 2-4 cm long and more rounded than white spruce. <br/>",Germination: Soak in water for 24 hours and then plant 1-2cm deep in sterile potting soil. No cold stratification required.,-1
Black walnut,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-black-walnut,8.0,Juglans nigra,"Black walnut is an important hardwood tree in Canada's eastern forests especially in southern Ontario. Large trees can grow over 30m in height and 1m in diameter, living to over 300 years old. Its light green compound leaves are pinnate, arranged alternately on the stem. The bark is furrowed with a grey-brown colour and often forms a diamond pattern. Mature trees produce large nuts with a green husk which turns black as it decays, the seeds are sought after by wildlife such as squirrels.<br/>",Germination: Soak in water for 24 hours. Cold stratify for 120 days and plant in a sunny location.,120
